,0,1,2,3,4,5
0,-0.5264,-0.061489999999999996,-1.1420000000000001,-0.1323,-0.1236,-0.04572
1,-0.01629,-0.2557,5.962999999999999,-2.4459999999999997,21.11,-4.934
2,-0.04747,-0.345,5.765,-2.519,20.57,-4.65
3,-0.01463,-0.2849,6.579,-2.136,22.89,-4.637
4,-0.01542,-0.2374,6.215,-1.8840000000000001,21.74,-4.359
5,0.02033,-0.1842,5.774,-1.724,20.32,-4.199
6,0.04334,-0.1489,5.6579999999999995,-1.45,19.98,-3.924
7,0.06799,-0.0961,5.502999999999999,-1.1440000000000001,19.5,-3.6260000000000003
8,0.09512000000000001,-0.04553,5.422999999999999,-0.8172,19.24,-3.3
9,0.1247,0.008289,5.345,-0.477,18.98,-2.9610000000000003
10,0.2131,-0.01807,5.569,-0.2457,19.39,-2.693
11,0.2719,0.01658,5.603,0.05885,19.32,-2.36
12,0.2432,0.1516,5.111000000000001,0.5114,18.04,-1.919
13,0.2428,0.23,4.835,0.8941,17.31,-1.5030000000000001
14,0.2823,0.2671,4.795,1.168,17.09,-1.175
15,0.3165,0.3092,4.698,1.4180000000000001,16.71,-0.8594
16,0.361,0.3318,4.649,1.605,16.41,-0.5849
17,0.4137,0.34,4.622,1.7309999999999999,16.14,-0.3579
18,0.4474,0.3419,4.444,1.797,15.5,-0.1594
19,0.5088,0.3155,4.428999999999999,1.7919999999999998,15.19,-0.02877
20,0.6128,0.2577,4.632,1.7209999999999999,15.29,0.0549
21,0.6913,0.2348,4.726,1.621,15.18,0.1079
22,0.7638,0.1975,4.736000000000001,1.4609999999999999,14.85,0.1152
23,0.8464,0.1461,4.776,1.246,14.54,0.07825
24,0.9271,0.09591000000000001,4.776,0.9899,14.12,0.005538
25,1.0090000000000001,0.03997,4.772,0.6915,13.67,-0.1054
26,1.052,0.1637,4.565,0.4735,12.84,-0.1622
27,1.122,0.1031,4.569,0.1114,12.49,-0.3323
28,1.235,-0.1348,4.728,-0.3553,12.3,-0.5707
29,1.328,-0.2444,4.803999999999999,-0.7346,12.0,-0.7586
30,1.41,-0.3251,4.718,-1.128,11.32,-0.9598
31,1.493,-0.4181,4.657,-1.521,10.71,-1.168
32,1.5530000000000002,-0.4552,4.703,-1.8630000000000002,10.46,-1.367
33,1.6219999999999999,-0.5012,4.548,-2.218,9.683,-1.567
34,1.7309999999999999,-0.6596,4.582,-2.6289999999999996,9.267999999999999,-1.81
35,1.7890000000000001,-0.6569,4.435,-2.8810000000000002,8.584,-1.9469999999999998
36,1.778,-0.4967,3.93,-3.0060000000000002,7.263,-2.008
37,1.791,-0.4497,3.57,-3.18,6.247000000000001,-2.106
38,1.82,-0.4002,3.3369999999999997,-3.321,5.544,-2.187
39,1.8359999999999999,-0.3278,3.043,-3.411,4.761,-2.235
40,1.8559999999999999,-0.2723,2.766,-3.468,4.015,-2.2640000000000002
41,1.88,-0.2246,2.4819999999999998,-3.492,3.2489999999999997,-2.273
42,1.879,-0.1258,2.048,-3.428,2.195,-2.219
43,1.895,-0.08257,1.695,-3.377,1.2930000000000001,-2.18
44,1.974,-0.1362,1.703,-3.378,1.1320000000000001,-2.187
45,2.041,-0.1508,1.608,-3.323,0.7216,-2.16
46,2.0909999999999997,-0.1473,1.3730000000000002,-3.21,-0.006085,-2.095
47,2.151,-0.1566,1.2009999999999998,-3.083,-0.6022,-2.023
48,2.208,-0.1585,1.01,-2.925,-1.242,-1.936
49,2.263,-0.1542,0.8293,-2.7430000000000003,-1.8459999999999999,-1.835
50,2.295,-0.05044,0.5216,-2.464,-2.66,-1.67
51,2.327,-0.008889,0.2714,-2.226,-3.341,-1.538
52,2.391,-0.06573999999999999,0.2769,-2.07,-3.489,-1.4709999999999999
53,2.457,-0.07318999999999999,0.2385,-1.88,-3.782,-1.3880000000000001
54,2.497,-0.03701,0.08667000000000001,-1.661,-4.268,-1.291
55,2.531,0.00313,-0.0417,-1.454,-4.657,-1.208
56,2.557,0.059039999999999995,-0.1863,-1.253,-5.051,-1.135
57,2.572,0.1262,-0.3337,-1.068,-5.406000000000001,-1.08
58,2.5469999999999997,0.2252,-0.6504,-0.8665,-6.051,-1.011
59,2.531,0.3164,-0.906,-0.7127,-6.5729999999999995,-0.9878
60,2.571,0.3875,-0.7045,-0.6126,-6.023,-1.021
61,2.582,0.4742,-0.6764,-0.5665,-5.84,-1.092
62,2.58,0.5577,-0.9342,-0.5241,-6.38,-1.16
63,2.5780000000000003,0.6368,-0.9816,-0.5177,-6.377000000000001,-1.268
64,2.57,0.7117,-1.014,-0.5299,-6.334,-1.4
65,2.5669999999999997,0.7734,-1.06,-0.5823,-6.357,-1.56
66,2.593,0.7942,-0.9637,-0.7558,-6.07,-1.818
67,2.639,0.7897,-0.8329,-0.8991,-5.893,-2.0469999999999997
68,2.617,0.8336,-1.364,-0.9485,-7.409,-2.178
69,2.5839999999999996,0.8857,-1.735,-0.9644,-8.301,-2.289
70,2.589,0.8878,-1.689,-1.089,-8.226,-2.484
71,2.5980000000000003,0.877,-1.69,-1.2209999999999999,-8.363,-2.682
72,2.625,0.8037,-1.5619999999999998,-1.6640000000000001,-8.298,-3.115
73,2.7230000000000003,0.7221,-1.014,-2.201,-7.307,-3.75
